3.0.0.0,3.255.255.255,255.0.0.0
4.0.0.0,4.255.255.255,255.0.0.0
5.152.184.0,5.152.191.255,255.255.248.0
6.0.0.0,6.255.255.255,255.0.0.0
7.0.0.0,7.255.255.255,255.0.0.0
8.0.0.0,8.255.255.255,255.0.0.0
9.0.0.0,9.255.255.255,255.0.0.0
11.0.0.0,11.255.255.255,255.0.0.0
12.0.0.0,12.255.255.255,255.0.0.0
13.0.0.0,13.255.255.255,255.0.0.0
15.0.0.0,15.255.255.255,255.0.0.0
16.0.0.0,16.255.255.255,255.0.0.0
17.0.0.0,17.255.255.255,255.0.0.0
18.0.0.0,18.255.255.255,255.0.0.0
19.0.0.0,19.255.255.255,255.0.0.0
20.0.0.0,20.255.255.255,255.0.0.0
21.0.0.0,21.255.255.255,255.0.0.0
22.0.0.0,22.255.255.255,255.0.0.0
23.0.0.0,23.15.255.255,255.240.0.0
23.18.0.0,23.18.255.255,255.255.0.0
23.19.0.0,23.19.255.255,255.255.0.0
23.20.0.0,23.23.255.255,255.252.0.0
23.24.0.0,23.25.255.255,255.254.0.0
23.26.0.0,23.26.255.255,255.255.0.0
23.27.0.0,23.27.255.255,255.255.0.0
23.28.0.0,23.28.255.255,255.255.0.0
23.29.0.0,23.29.15.255,255.255.240.0
23.29.16.0,23.29.31.255,255.255.240.0
23.29.32.0,23.29.47.255,255.255.240.0
23.29.48.0,23.29.63.255,255.255.240.0
23.29.64.0,23.29.79.255,255.255.240.0
23.29.80.0,23.29.95.255,255.255.240.0
23.29.96.0,23.29.111.255,255.255.240.0
23.29.112.0,23.29.127.255,255.255.240.0
23.29.128.0,23.29.159.255,255.255.224.0
23.29.160.0,23.29.191.255,255.255.224.0
23.29.224.0,23.29.255.255,255.255.224.0
23.30.0.0,23.31.255.255,255.254.0.0
23.32.0.0,23.63.255.255,255.224.0.0
23.64.0.0,23.67.255.255,255.252.0.0
23.68.0.0,23.71.255.255,255.252.0.0
23.72.0.0,23.79.255.255,255.248.0.0
23.80.0.0,23.83.255.255,255.252.0.0
23.84.0.0,23.87.255.255,255.252.0.0
23.88.0.0,23.89.255.255,255.254.0.0
23.90.0.0,23.90.63.255,255.255.192.0
23.90.64.0,23.90.127.255,255.255.192.0
23.90.128.0,23.90.191.255,255.255.192.0
23.90.192.0,23.90.255.255,255.255.192.0
23.91.0.0,23.91.31.255,255.255.224.0
23.91.32.0,23.91.63.255,255.255.224.0
23.91.64.0,23.91.79.255,255.255.240.0
23.91.80.0,23.91.95.255,255.255.240.0
23.91.96.0,23.91.111.255,255.255.240.0
23.91.112.0,23.91.127.255,255.255.240.0
23.91.192.0,23.91.223.255,255.255.224.0
23.92.0.0,23.92.15.255,255.255.240.0
23.92.16.0,23.92.31.255,255.255.240.0
23.92.32.0,23.92.47.255,255.255.240.0
23.92.48.0,23.92.63.255,255.255.240.0
23.92.64.0,23.92.79.255,255.255.240.0
23.92.80.0,23.92.95.255,255.255.240.0
23.92.96.0,23.92.111.255,255.255.240.0
23.92.112.0,23.92.127.255,255.255.240.0
23.92.160.0,23.92.175.255,255.255.240.0
23.92.176.0,23.92.191.255,255.255.240.0
23.92.192.0,23.92.207.255,255.255.240.0
23.92.208.0,23.92.223.255,255.255.240.0
23.92.224.0,23.92.255.255,255.255.224.0
23.93.0.0,23.93.255.255,255.255.0.0
23.94.0.0,23.95.255.255,255.254.0.0
23.96.0.0,23.103.255.255,255.248.0.0
23.104.0.0,23.111.255.255,255.248.0.0
23.112.0.0,23.127.255.255,255.240.0.0
23.192.0.0,23.223.255.255,255.224.0.0
23.224.0.0,23.225.255.255,255.254.0.0
23.226.0.0,23.226.15.255,255.255.240.0
23.226.16.0,23.226.31.255,255.255.240.0
